,OFFENSE,BLKADDR,City,State,Latitude,Longitude
94,THEFT FELONY (OVER $950),1900 BLOCK 4TH ST,Berkeley,CA,37.86825, -122.300093
95,ROBBERY,1800 BLOCK UNIVERSITY AVE,Berkeley,CA,37.871246, -122.274991
96,BURGLARY COMMERCIAL,1700 BLOCK SOLANO AVE,Berkeley,CA,37.891214, -122.282158
97,BURGLARY RESIDENTIAL,600 BLOCK ADDISON ST,Berkeley,CA,37.865793, -122.301779
98,IDENTITY THEFT,2400 BLOCK DERBY ST,Berkeley,CA,37.861285, -122.259979
99,DISTURBANCE,1800 BLOCK SAN PABLO AVE,Berkeley,CA,37.871369, -122.292954
100,THEFT FELONY (OVER $950),2100 BLOCK ESSEX ST,Berkeley,CA,37.853861, -122.26598
101,THEFT FELONY (OVER $950),1400 BLOCK UNIVERSITY AVE,Berkeley,CA,37.870054, -122.284263
102,THEFT FROM AUTO,2500 BLOCK HILGARD AVE,Berkeley,CA,37.878629, -122.260883
103,DISTURBANCE,1500 BLOCK PRINCE ST,Berkeley,CA,37.851503, -122.278518
104,THEFT MISD. (UNDER $950),2100 BLOCK SHATTUCK AVE,Berkeley,CA,37.871167, -122.268285
105,VEHICLE STOLEN,2800 BLOCK HILLEGASS AVE,Berkeley,CA,37.85968, -122.255796
106,ASSAULT/BATTERY MISD.,3049 SACRAMENTO ST,Berkeley,CA,37.852079, -122.278653
107,BURGLARY COMMERCIAL,1650 6TH ST,Berkeley,CA,37.873288, -122.299396
108,FRAUD/FORGERY,1800 BLOCK SONOMA AVE,Berkeley,CA,37.885744, -122.278017
109,THEFT FELONY (OVER $950),2900 BLOCK FULTON ST,Berkeley,CA,37.857099, -122.263785
110,THEFT FROM AUTO,2300 BLOCK EDWARDS ST,Berkeley,CA,37.865529, -122.282628
111,BURGLARY AUTO,2700 BLOCK DWIGHT WAY,Berkeley,CA,37.865748, -122.253396
112,DISTURBANCE,2700 BLOCK PIEDMONT AVE,Berkeley,CA,37.862024, -122.251212
113,VEHICLE STOLEN,100 BLOCK SEAWALL DR,Berkeley,CA,37.863611, -122.317566
114,ASSAULT/BATTERY MISD.,1800 BLOCK UNIVERSITY AVE,Berkeley,CA,37.871246, -122.274991
115,THEFT FROM AUTO,1100 BLOCK FRESNO AVE,Berkeley,CA,37.887344, -122.277321
116,VEHICLE STOLEN,2900 BLOCK ELLSWORTH ST,Berkeley,CA,37.857387, -122.261536
117,BURGLARY RESIDENTIAL,2100 BLOCK PARKER ST,Berkeley,CA,37.862169, -122.267084
118,THEFT FROM AUTO,2206 BYRON ST,Berkeley,CA,37.866296, -122.28996
119,THEFT MISD. (UNDER $950),1000 BLOCK GILMAN ST,Berkeley,CA,37.88014, -122.297498
120,DOMESTIC VIOLENCE,3000 BLOCK STANTON ST,Berkeley,CA,37.853203, -122.279642
121,VEHICLE STOLEN,700 BLOCK ASHBY AVE,Berkeley,CA,37.849376, -122.294952
122,BURGLARY AUTO,2400 BLOCK SHATTUCK AVE,Berkeley,CA,37.865772, -122.267643
123,ASSAULT/BATTERY MISD.,700 BLOCK HARRISON ST,Berkeley,CA,37.88055, -122.304962
124,THEFT FROM AUTO,3000 BLOCK TELEGRAPH AVE,Berkeley,CA,37.855435, -122.259841
125,DOMESTIC VIOLENCE,1700 BLOCK SAN PABLO AVE,Berkeley,CA,37.87325, -122.293558
126,THEFT MISD. (UNDER $950),2800 BLOCK ADELINE ST,Berkeley,CA,37.858116, -122.268002
127,THEFT MISD. (UNDER $950),1400 BLOCK UNIVERSITY AVE,Berkeley,CA,37.870054, -122.284263
128,THEFT FROM AUTO,400 BLOCK GRIZZLY PEAK BLVD,Berkeley,CA,37.904235, -122.26951
129,VEHICLE STOLEN,2500 BLOCK REGENT ST,Berkeley,CA,37.865202, -122.257795
130,ROBBERY,2800 BLOCK ADELINE ST,Berkeley,CA,37.858116, -122.268002
131,IDENTITY THEFT,2900 BLOCK NEWBURY ST,Berkeley,CA,37.856614, -122.267596
132,THEFT FROM AUTO,1700 BLOCK PRINCE ST,Berkeley,CA,37.852136, -122.273695
133,BURGLARY RESIDENTIAL,2800 BLOCK WEBSTER ST,Berkeley,CA,37.855935, -122.250579
134,NARCOTICS,1900 BLOCK ALLSTON WAY,Berkeley,CA,37.868785, -122.272701
135,NARCOTICS,2600 BLOCK TELEGRAPH AVE,Berkeley,CA,37.862927, -122.258784
136,BURGLARY RESIDENTIAL,900 BLOCK JONES ST,Berkeley,CA,37.875505, -122.298797
137,VANDALISM,200 BLOCK UNIVERSITY AVE,Berkeley,CA,37.865511, -122.309967
138,VEHICLE STOLEN,1300 BLOCK ADDISON ST,Berkeley,CA,37.868913, -122.28608
139,ASSAULT/BATTERY MISD.,1800 BLOCK UNIVERSITY AVE,Berkeley,CA,37.871246, -122.274991
140,DISTURBANCE,2400 BLOCK TELEGRAPH AVE,Berkeley,CA,37.866761, -122.258779
141,THEFT MISD. (UNDER $950),1300 BLOCK MARTIN LUTHER KING JR WAY,Berkeley,CA,37.88308, -122.274259
142,VEHICLE STOLEN,1300 BLOCK GILMAN ST,Berkeley,CA,37.881366, -122.289688
143,ASSAULT/BATTERY MISD.,1000 BLOCK UNIVERSITY AVE,Berkeley,CA,37.868641, -122.29415
144,DISTURBANCE,2300 BLOCK SHATTUCK AVE,Berkeley,CA,37.867176, -122.267802
145,VEHICLE STOLEN,900 BLOCK DWIGHT WAY,Berkeley,CA,37.860189, -122.294048
146,DISTURBANCE,1800 BLOCK ALLSTON WAY,Berkeley,CA,37.868532, -122.274764
